1:1	o4pb				Dans la généalogie de Jésus-Christ, quels sont les deux ancêtres cités en premier, ce qui indique leur importance ?	Les deux premiers ancêtres cités sont David et Abraham.
12:19-20	my7x				Dans la prophétie d'Ésaïe sur Jésus, qu'est-ce que Jésus ne ferait pas ?	Jésus ne s'est pas battu, n'a pas crié, n'a pas brisé le roseau cassé, ni éteint le lin qui fume.

12:26	u3mb				Comment Jésus a-t-il répondu à l'accusation selon laquelle il chassait les démons par Belzébuth ?	Jésus a dit que si Satan chasse Satan, alors comment le royaume de Satan pourra-t-il subsister ?

12:28	jfrx				Que disait Jésus s'il chassait les démons par l'Esprit de Dieu ?	Jésus a dit que le royaume de Dieu était venu sur eux s'il chassait les démons par l'Esprit de Dieu.

12:31	j3mo				Quel péché Jésus a-t-il dit qu'il ne serait pas pardonné ?	Jésus a dit que le blasphème contre l'Esprit ne sera pas pardonné.

12:33	kp5v				Par quoi un arbre est-il connu ?	Un arbre est connu par ses fruits.

12:37	uz3e				Par quoi Jésus a-t-il dit que les pharisiens seraient justifiés et condamnés ?	Jésus a dit que les pharisiens seraient justifiés et condamnés par leurs paroles.

12:39-40	glyv				Quel signe Jésus a-t-il dit qu'il donnerait à sa génération ?	Jésus a dit qu'il donnerait à sa génération le signe de Jonas, en étant au cœur de la terre trois jours et trois nuits.

12:41	w241				Qui, selon Jésus, était plus grand que Jonas ?	Jésus a dit qu'il était plus grand que Jonas.

12:41	c6ii				Pourquoi les hommes de Ninive condamneront-ils les gens de la génération de Jésus ?	Les hommes de Ninive condamneront la génération de Jésus parce qu'ils ont écouté la parole de Dieu à travers Jonas, mais la génération de Jésus n'a même pas écouté le Fils de l'homme, qui est plus grand que Jonas.

12:42	nz4k				Qui, selon Jésus, était plus grand que Salomon ?	Jésus a dit qu'il était plus grand que Salomon.

12:43-45	urab				Comment la génération de Jésus sera-t-elle semblable à un homme qui voit un esprit impur s'éloigner de lui ?	La génération de Jésus sera semblable à un homme dont un esprit impur s'éloigne de lui, car l'esprit impur revient avec sept autres esprits et la condition finale de l'homme devient pire que la première.

12:48-50	ibo0				Qui, selon Jésus, sont son frère, sa sœur et sa mère ?	Jésus a dit que ceux qui font la volonté du Père sont son frère, sa sœur et sa mère.

13:4	lc0c				Dans la parabole de Jésus sur le semeur, qu'est-il arrivé à la graine qui est tombée au bord du chemin ?	La graine qui est tombée sur le bord du chemin a été dévorée par les oiseaux.

13:5-6	tuku				Dans la parabole de Jésus sur le semeur, qu'arrive-t-il à la graine qui tombe sur un sol rocailleux ?	La graine qui est tombée sur un sol rocailleux a immédiatement poussé, mais elle a été brûlée par le soleil et s'est desséchée.

13:7	elzi				Dans la parabole de Jésus sur le semeur, qu'est-il arrivé à la graine qui est tombée parmi les épines ?	La graine qui est tombée parmi les plantes à épines a été étouffée par les plantes à épines.

13:8	c99d				Dans la parabole de Jésus sur le semeur, qu'arrive-t-il à la graine qui tombe sur une bonne terre ?	La graine qui tombait sur une bonne terre produisait du grain, certains 100 fois plus, d'autres 60, et d'autres 30.

13:14	bkiz				La prophétie d'Isaïe disait que le peuple entendrait et verrait, mais pas quoi ?	La prophétie d'Isaïe disait que le peuple entendrait, mais ne comprendrait pas ; qu'il verrait, mais ne percevrait pas.

13:15	yyfo				Qu'est-ce qui n'allait pas avec les gens qui ont entendu Jésus mais n'ont pas compris ?	Les personnes qui ont entendu Jésus mais qui n'ont pas compris avaient le cœur terne, l'ouïe lourde et les yeux fermés.

13:19	fldn				Dans la parabole du semeur, quel genre de personne est la graine semée au bord du chemin ?	La graine semée sur le bord du chemin est celle de la personne qui entend la parole du royaume mais ne la comprend pas ; alors le malin vient et arrache ce qui a été semé dans son cœur.

13:20-21	tqa2				Dans la parabole du semeur, quel genre de personne est la graine semée sur le sol rocailleux ?	La graine semée sur le sol rocailleux est la personne qui entend la parole et la reçoit immédiatement avec joie, mais qui trébuche dès que survient la persécution.

13:22	v368				Dans la parabole du semeur, quel genre de personne est la graine semée parmi les plantes épineuses ?	La graine semée parmi les plantes épineuses est la personne qui entend la parole, mais les soucis du monde et la séduction des richesses étouffent la parole.

13:23	xlyu				Dans la parabole du semeur, quel genre de personne est la graine semée sur la bonne terre ?	La graine semée sur la bonne terre est la personne qui entend la parole et la comprend, et qui produit ensuite du fruit.

13:28	jliy				Dans la parabole de l'ivraie, qui a semé l'ivraie dans le champ ?	Un ennemi a semé les mauvaises herbes dans le champ.

13:30	fcka				Quelles instructions le propriétaire foncier a-t-il données aux serviteurs au sujet des mauvaises herbes et du blé ?	Le propriétaire dit aux serviteurs de laisser les deux pousser ensemble jusqu'à la récolte, puis de ramasser les mauvaises herbes pour les brûler et de mettre le blé dans le grenier.

13:31-32	uw30				Dans la parabole de Jésus sur le grain de moutarde, qu'arrive-t-il au petit grain de moutarde ?	La graine de moutarde devient un arbre plus grand que les plantes du jardin, de sorte que les oiseaux nichent dans ses branches.

13:33	f6ro				Comment Jésus a-t-il dit que le royaume des cieux était comme de la levure ?	Jésus a dit que le royaume des cieux était semblable à du levain que l'on mélange à trois mesures de farine jusqu'à ce qu'il lève.

13:37-39	m71l				Dans la parabole de l'ivraie, qui sème la bonne graine, quel est le champ, qui est la bonne graine, qui sont les mauvaises herbes, et qui a semé les mauvaises herbes ?	Le semeur de la bonne semence est le Fils de l'homme ; le champ est le monde ; la bonne semence sont les fils du royaume ; l'ivraie sont les fils du malin, et le semeur de l'ivraie est le diable.

13:39	w09v				Dans la parabole de l'ivraie, qui sont les moissonneurs et que représente la récolte ?	Les moissonneurs sont les anges, et la récolte est la fin du monde.

13:42	yrex				Qu'arrive-t-il à la fin du monde à ceux qui commettent l'iniquité ?	À la fin du monde, ceux qui commettent l'iniquité sont jetés dans la fournaise de feu.

13:43	g76c				Qu'arrive-t-il à la fin du monde à ceux qui sont justes ?	À la fin du monde, les justes brillent comme le soleil.

13:44	foh7				Dans la parabole de Jésus, que fait l'homme qui trouve dans un champ le trésor, qui représente le royaume des cieux ?	L'homme qui trouve le trésor vend tout ce qu'il possède et achète le champ.

13:45-46	qu33				Dans la parabole de Jésus, que fait l'homme qui trouve la seule perle de grande valeur, qui représente le royaume des cieux ?	L'homme qui trouve la seule perle de grande valeur vend tout ce qu'il possède et l'achète.

13:47-48	oy9w				En quoi la parabole du filet de pêche ressemble-t-elle à ce qui se passera à la fin du monde ?	Tout comme les choses sans valeur du filet étaient séparées des bonnes et jetées, à la fin du monde, les méchants seront séparés des justes et jetés dans la fournaise.

13:54	ra3l				Quelle question les gens de sa propre région ont-ils posée à propos de Jésus lorsqu'ils l'ont entendu enseigner ?	Les gens demandaient : "D'où cet homme tient-il sa sagesse et ces miracles" ?

13:57	q0bi				Selon Jésus, qu'arrive-t-il à un prophète dans son propre pays ?	Jésus a dit qu'un prophète est sans honneur dans son propre pays.

13:58	ghor				Que s'est-il passé dans la région de Jésus à cause de l'incrédulité des gens ?	À cause de l'incrédulité des gens, Jésus n'a pas fait beaucoup de miracles dans sa propre région.

14:2	ebi1				Pour Hérode, qui était Jésus ?	Hérode pensait que Jésus était Jean le Baptiste ressuscité des morts.

14:4	y1zc				Qu'est-ce qu'Hérode avait fait d'illégal, et dont Jean Baptiste lui avait parlé ?	Hérode avait épousé la femme de son frère.

14:5	frn8				Pourquoi Hérode n'a-t-il pas immédiatement mis à mort Jean le Baptiste ?	Hérode n'a pas immédiatement mis à mort Jean le Baptiste parce qu'il craignait le peuple, qui considérait Jean comme un prophète.

14:7	hktz				Qu'a fait Hérode après que la fille d'Hérodias ait dansé pour lui le jour de son anniversaire ?	Hérode promit avec serment de donner à la fille d'Hérodias tout ce qu'elle demanderait.

14:8	u0vg				Car que demandait la fille d'Hérodias ?	Pour faire plaisir à sa mère, elle a demandé la tête de Jean-Baptiste sur un plateau.

14:9	cly0				Pourquoi Hérode a-t-il donné sa demande à la fille d'Hérodias ?	Hérode a accédé à la demande de la jeune fille à cause de son serment et à cause de toutes les personnes qui dînaient avec lui.

14:14	vv61				Quelle a été la réaction de Jésus lorsqu'il a vu la grande foule qui le suivait ?	Jésus a eu pitié d'eux et a guéri leurs malades.

14:16	dwt7				Qu'est-ce que Jésus a demandé à ses disciples de faire pour la foule ?	Jésus a mis ses disciples au défi de donner à la foule quelque chose à manger.

14:19	tk14				Qu'a fait Jésus avec les cinq pains et les deux poissons que les disciples lui ont apportés ?	Jésus lève les yeux au ciel, bénit et rompt les pains et les donne aux disciples pour qu'ils les distribuent à la foule.

14:20-21	a6ku				Combien de personnes ont mangé, et combien de nourriture est restée ?	Environ cinq mille hommes ont mangé, plus les femmes et les enfants, et il restait douze paniers.

14:23	hjy8				Qu'a fait Jésus après avoir renvoyé la foule ?	Jésus est monté sur la montagne pour prier seul.

14:24	bcil				Que se passait-il avec les disciples au milieu de la mer ?	Le bateau des disciples était presque incontrôlable à cause du vent et des vagues.

14:25	abkd				Comment Jésus est-il allé vers les disciples ?	Jésus est allé vers les disciples en marchant sur l'eau.

14:27	mnxr				Qu'a dit Jésus aux disciples lorsqu'ils l'ont vu ?	Jésus a dit à ses disciples d'être courageux et de ne pas avoir peur.

14:29	q6ro				Qu'est-ce que Jésus a dit à Pierre de venir faire ?	Jésus a dit à Pierre de venir et de marcher sur l'eau.

14:30	flxj				Pourquoi Pierre a-t-il commencé à s'enfoncer dans l'eau ?	Pierre a commencé à s'enfoncer dans l'eau lorsqu'il a eu peur.

14:32	uxbd				Que s'est-il passé lorsque Jésus et Pierre sont montés dans la barque ?	Lorsque Pierre et Jésus sont montés dans la barque, le vent a cessé de souffler.

14:33	gme8				Qu'ont fait les disciples quand ils ont vu cela ?	Quand les disciples ont vu cela, ils ont adoré Jésus et ont dit qu'il était le Fils de Dieu.

14:35	ha1b				Qu'ont fait les gens quand Jésus et les disciples sont arrivés de l'autre côté de la mer ?	Lorsque Jésus et les disciples arrivèrent sur l'autre rive de la mer, les gens amenèrent à Jésus tous les malades.

15:4-6	kbm1				Quel exemple Jésus a-t-il donné de la manière dont les pharisiens ont rendu nulle la parole de Dieu par leurs traditions ?	Les Pharisiens empêchaient les enfants d'aider leurs parents en considérant l'argent comme un "don fait à Dieu".

15:7-8	amuf				Qu'est-ce qu'Ésaïe a prophétisé sur les lèvres et le cœur des pharisiens ?	Esaïe a prophétisé que les pharisiens honoreraient Dieu avec leurs lèvres, mais que leur cœur serait loin de Dieu.

15:9	dg7a				Au lieu d'enseigner la parole de Dieu, qu'est-ce que les pharisiens enseignaient comme doctrine ?	Les pharisiens enseignaient comme des doctrines les commandements des gens.

15:11	yxv2				Qu'est-ce que Jésus a dit qui ne souille pas une personne ?	Jésus a dit que ce qu'une personne mange ne la souille pas.

15:11	byim				Qu'est-ce qui, selon Jésus, souille une personne ?	Jésus a dit que ce qui sort de la bouche d'une personne la souille.

15:14	xiwl				Comment Jésus a-t-il appelé les pharisiens, et qu'a-t-il dit qu'il leur arriverait ?	Jésus a traité les Pharisiens de guides aveugles et a dit qu'ils allaient tomber dans une fosse.

15:19	yur6				Quelles sont les choses qui viennent du cœur et qui souillent une personne ?	Du cœur partent les mauvaises pensées, le meurtre, l'adultère, l'immoralité sexuelle, le vol, le faux témoignage et les insultes.

15:23	watr				Qu'a fait Jésus au début, lorsque la Cananéenne a crié à la pitié ?	Jésus ne lui répondit pas un mot.

15:24	xjgb				Comment Jésus explique-t-il qu'il n'aide pas la Cananéenne ?	Jésus a expliqué qu'il avait été envoyé uniquement aux brebis perdues de la maison d'Israël.

15:28	zncr				Lorsque la femme cananéenne s'est humiliée, qu'est-ce que Jésus lui a dit et a fait pour elle ?	Jésus dit que la femme avait une grande foi, et il lui a accordé sa demande.

15:30-31	e7j2				Qu'a fait Jésus pour les grandes foules qui venaient à lui en Galilée ?	Jésus a guéri le muet, l'infirme, le boiteux et l'aveugle.

15:34	wkwe				Combien de pains et de poissons les disciples avaient-ils pour nourrir la foule ?	Les disciples avaient sept pains et quelques petits poissons.

15:36	ewi3				Qu'a fait Jésus avec les pains et les poissons ?	Jésus prit les pains et les poissons, rendit grâce, rompit les pains et les donna à ses disciples.

15:37	hcz5				Combien de nourriture restait-il après que tout le monde ait mangé ?	Il restait sept paniers pleins après que tout le monde ait mangé.

15:38	uge9				Combien de personnes ont mangé et ont été rassasiées par les pains et les poissons ?	Il y avait 4 000 hommes, plus les femmes et les enfants, qui ont mangé et ont été satisfaits.

16:1	vx8n				Qu'est-ce que les Pharisiens et les Sadducéens voulaient voir de Jésus comme test ?	Les Pharisiens et les Sadducéens voulaient voir un signe du ciel de la part de Jésus.

16:4	bum4				Qu'est-ce que Jésus a dit qu'il donnerait aux Pharisiens et aux Sadducéens ?	Jésus a dit qu'il donnerait aux Pharisiens et aux Sadducéens le signe de Jonas.

16:6	i9u9				De quoi Jésus a-t-il dit à ses disciples de se méfier ?	Jésus a dit à ses disciples de se méfier du levain des pharisiens et des sadducéens.

16:12	yvi6				De quoi Jésus parlait-il en réalité lorsqu'il a dit à ses disciples de se méfier ?	Jésus disait à ses disciples de se méfier de l'enseignement des pharisiens et des sadducéens.

16:13	x5ip				Quelle question Jésus a-t-il posée à ses disciples lorsqu'ils sont arrivés à Césarée de Philippe ?	Jésus a demandé à ses disciples : "Qui dit-on que le Fils de l'homme est ?"

16:14	v2a7				Qui certaines personnes pensaient que Jésus était ?	Certaines personnes pensaient que Jésus était Jean le Baptiste, ou Elie, ou Jérémie, ou l'un des prophètes.

16:16	qv7b				Quelle réponse Pierre a-t-il donnée à la question de Jésus ?	Pierre répondit : "Tu es le Christ, le Fils du Dieu vivant".

16:17	sl62				Comment Pierre a-t-il su la réponse à la question de Jésus ?	Pierre connaissait la réponse à la question de Jésus parce que le Père la lui avait révélée.

16:19	fng0				Quelle autorité Jésus a-t-il donnée à Pierre sur terre ?	Jésus a donné à Pierre les clés du royaume, afin qu'il puisse lier et délier sur la terre et que cela soit lié ou délié au ciel.

16:21	mmxe				À ce moment-là, qu'est-ce que Jésus a commencé à dire clairement à ses disciples ?	Jésus commença à dire à ses disciples qu'il devait aller à Jérusalem, souffrir beaucoup, être tué et ressusciter le troisième jour.

16:23	e8xh				Qu'a dit Jésus à Pierre lorsque celui-ci s'est opposé à ce que Jésus décrivait comme devant lui arriver ?	Jésus a dit à Pierre : "Va derrière moi, Satan" !

16:24	wd7b				Que doit faire celui qui veut suivre Jésus ?	Quiconque veut suivre Jésus doit renoncer à lui-même et se charger de sa croix.

16:26	jnyf				Qu'est-ce que Jésus a dit qui ne profite pas à l'homme ?	Jésus a dit qu'il ne sert à rien à un homme de gagner le monde entier, mais qu'il y perd sa vie.

16:27	cure				Comment Jésus a-t-il dit que le Fils de l'homme viendra ?	Jésus a dit que le Fils de l'homme viendrait dans la gloire de son Père avec ses anges.

16:27	sylj				Comment le Fils de l'homme récompensera-t-il chaque personne lorsqu'il viendra ?	Le Fils de l'homme récompensera chaque personne selon ses actes lorsqu'il viendra.

16:28	nghg				Qui, selon Jésus, verra le Fils de l'homme venir dans son royaume ?	Jésus a dit que certains qui se tenaient là avec lui verraient le Fils de l'homme venir dans son royaume.

17:1	q7ru				Qui a accompagné Jésus sur une haute montagne ?	Pierre, Jacques et Jean sont allés avec Jésus sur une haute montagne.

17:2	yg8q				Qu'est-il arrivé à l'apparition de Jésus sur la montagne ?	Jésus fut transfiguré de telle sorte que son visage resplendit comme le soleil, et que ses vêtements furent aussi brillants que la lumière.

17:3	nitm				Qui est apparu et a parlé avec Jésus ?	Moïse et Elie sont apparus et ont parlé avec Jésus.

17:4	v3qc				Qu'est-ce que Pierre a proposé de faire ?	Pierre a proposé de fabriquer trois tentes pour les trois hommes.

17:5	cehi				Qu'a dit la voix sortant du nuage ?	La voix sortant de la nuée dit : "Celui-ci est mon Fils bien-aimé, en qui j'ai mis toute mon affection ; écoutez-le".

17:9	ys0n				Qu'a ordonné Jésus aux disciples alors qu'ils descendaient de la montagne ?	Jésus a ordonné aux disciples de ne rapporter leur vision à personne avant que le Fils de l'homme ne soit ressuscité des morts.

17:11	hh3s				Que dit Jésus à propos de l'enseignement des scribes selon lequel Élie doit venir en premier ?	Jésus a dit qu'Élie viendra effectivement et restaurera toutes choses.

17:12-13	b201				Qui, selon Jésus, était l'Élie qui était déjà venu, et qu'est-ce qu'on lui avait fait ?	Jésus a dit que Jean le Baptiste était l'Élie qui était déjà venu, et qu'ils lui avaient fait ce qu'ils voulaient.

17:14-16	mwmx				Qu'est-ce que les disciples avaient pu faire pour le garçon épileptique ?	Les disciples n'avaient pas réussi à guérir le garçon épileptique.

17:18	hwbh				Qu'a fait Jésus pour le garçon épileptique ?	Jésus a réprimandé le démon, et le garçon a été guéri dès cette heure-là.

17:20	rjef				Pourquoi les disciples n'ont-ils pas réussi à guérir le garçon épileptique ?	Jésus dit qu'à cause de leur petite foi, ils n'ont pas pu guérir le garçon épileptique.

17:22-23	nmem				Qu'est-ce que Jésus a dit à ses disciples qui les a rendus très tristes ?	Jésus a dit à ses disciples qu'il serait livré aux mains de personnes qui le tueraient, et qu'il ressusciterait le troisième jour.

17:27	ts45				Comment Pierre et Jésus ont-ils payé la taxe d'un demi-shekel ?	Jésus dit à Pierre d'aller à la mer, d'y jeter un hameçon et d'attirer le premier poisson qui remontera, qui aura dans sa bouche un sicle pour la taxe.

18:3	j2hf				Qu'est-ce que Jésus a dit que nous devons faire pour entrer dans le royaume des cieux ?	Jésus a dit que nous devons nous repentir et devenir comme des petits enfants pour entrer dans le royaume des cieux.

18:4	pbu6				Qui, selon Jésus, est le plus grand dans le royaume des cieux ?	Jésus a dit que celui qui s'humilie comme un petit enfant est le plus grand dans le royaume des cieux.

18:6	dvkq				Qu'arrive-t-il à celui qui fait pécher un petit qui croit en Jésus ?	Celui qui fait pécher un petit qui croit en Jésus serait mieux si on lui suspendait une meule au cou et qu'on le faisait couler dans la mer.

18:8	s62c				Qu'est-ce que Jésus a dit que nous devons faire avec tout ce qui nous fait trébucher ?	Jésus a dit que nous devons jeter tout ce qui nous fait trébucher.

18:10	dwup				Pourquoi Jésus a-t-il dit que nous ne devons pas mépriser les petits ?	Nous ne devons pas mépriser les petits, car leurs anges regardent toujours la face du Père.

18:12-14	uws4				En quoi la personne qui cherche la seule brebis perdue est-elle semblable au Père qui est aux cieux ?	Ce n'est pas non plus la volonté du Père que l'un des petits périsse.

18:15	jkzm				Si votre frère pèche contre vous, quelle est la première chose que vous devez faire ?	D'abord, vous devriez aller lui montrer sa faute entre vous et lui seul.

18:16	tg7u				Si votre frère n'écoute pas, quelle est la deuxième chose que vous devez faire ?	Deuxièmement, tu dois prendre avec toi un ou deux autres frères comme témoins.

18:17	d8l4				Si votre frère n'écoute toujours pas, quelle est la troisième chose que vous devez faire ?	Troisièmement, vous devez en parler à l'église.

18:17	g0vs				Si votre frère ne veut toujours pas écouter, que faire ?	Enfin, s'il ne veut pas écouter l'église, il doit être traité comme un païen et un collecteur d'impôts.

18:20	dpa4				Qu'a promis Jésus lorsque deux ou trois personnes sont réunies en son nom ?	Jésus a promis d'être au milieu de deux ou trois personnes réunies en son nom.

18:21-22	lear				Combien de fois Jésus a-t-il dit que nous devions pardonner à notre frère ?	Jésus a dit que nous devions pardonner à notre frère 70 fois 7 fois.

18:24-25	y6zx				Que devait le serviteur à son maître, et pouvait-il le lui rendre ?	Le serviteur devait à son maître 10 000 talents, qu'il ne pouvait pas rembourser.

18:27	m810				Pourquoi le maître a-t-il remis sa dette au serviteur ?	Le maître fut ému de compassion et remit au serviteur sa dette.

18:30	wp50				Que fait le serviteur avec son compagnon de service qui lui doit cent deniers ?	Le serviteur refuse d'être patient et jette son compagnon de service en prison.

18:33	y07y				Qu'est-ce que le maître a dit au serviteur qu'il aurait dû faire avec son compagnon de service ?	Le maître a dit au serviteur qu'il aurait dû avoir pitié de son compagnon de service.

18:34	ev6y				Que fit alors le maître au serviteur ?	Le maître livrait le serviteur aux tortionnaires jusqu'à ce qu'il paie tout ce qui lui était dû.

18:35	epl6				Qu'est-ce que Jésus a dit que le Père fera si nous ne pardonnons pas notre frère de tout notre cœur ?	Jésus a dit que le Père nous fera comme le maître a fait au serviteur si nous ne pardonnons pas notre frère du fond du cœur.

19:3	upfq				Quelle question les Pharisiens ont-ils posée à Jésus pour le tester ?	Les pharisiens demandèrent à Jésus : "Est-il permis à un homme de répudier sa femme pour quelque motif que ce soit ?"

19:4	h71o				Qu'est-ce que Jésus a dit qui était vrai depuis le début de la création ?	Jésus a dit que, dès le début de la création, Dieu les avait faits homme et femme.

19:5	f48m				En raison de la façon dont Dieu les a faits homme et femme, qu'est-ce que Jésus a dit qu'un homme devait faire ?	Jésus a dit que l'homme doit quitter son père et sa mère et s'attacher à sa femme.

19:5-6	jim7				Qu'est-ce que Jésus a dit qu'il se passe quand le mari s'unit à sa femme ?	Jésus a dit que lorsqu'un mari s'unit à sa femme, les deux deviennent une seule chair.

19:6	pcrs				Qu'est-ce que Jésus a dit que l'homme ne devait pas faire de ce que Dieu a uni ?	Jésus a dit que l'homme ne doit pas déchirer ce que Dieu a uni.

19:7-8	w0b2				Pourquoi Jésus a-t-il dit que Moïse avait ordonné des certificats de divorce ?	Jésus a dit que Moïse avait ordonné des certificats de divorce à cause de la dureté du cœur des Juifs.

19:9	gln0				Qui, selon Jésus, commet l'adultère ?	Jésus a dit que quiconque répudie sa femme, sauf pour fornication, et en épouse une autre commet un adultère, et que l'homme qui épouse une femme divorcée commet un adultère.

19:10-12	zws5				Qui, selon Jésus, pourrait accepter d'être un eunuque ?	Jésus a dit que ceux qui sont autorisés à l'accepter peuvent accepter d'être un eunuque.

19:13	cmel				Qu'ont fait les disciples lorsque des petits enfants ont été amenés à Jésus ?	Lorsque des petits enfants ont été amenés à Jésus, les disciples les ont réprimandés.

19:14	sme3				Qu'a dit Jésus en voyant les petits enfants ?	Jésus a dit de laisser venir les petits enfants, car c'est à ceux-là qu'appartient le royaume des cieux.

19:16-17	i057				Qu'est-ce que Jésus a dit au jeune homme qu'il devait faire pour entrer dans la vie éternelle ?	Jésus a dit à l'homme de garder les commandements pour entrer dans la vie éternelle.

19:20-21	lrcn				Quand le jeune homme a dit qu'il avait gardé les commandements, qu'est-ce que Jésus lui a dit de faire ?	Quand le jeune homme a dit qu'il avait gardé les commandements, Jésus lui a dit de vendre ce qu'il avait et de le donner aux pauvres.

19:22	xq1c				Comment le jeune homme a-t-il répondu au commandement de Jésus de vendre ce qu'il avait ?	Le jeune homme s'en alla tout triste parce qu'il avait de grands biens.

19:26	d7c1				Qu'a dit Jésus sur la possibilité pour un homme riche d'entrer dans le royaume des cieux ?	Jésus a dit qu'avec les hommes, tout est impossible, mais qu'avec Dieu, tout est possible.

19:28	cw1n				Quelle récompense Jésus a-t-il promis à ses disciples qui l'avaient suivi ?	Jésus a promis à ses disciples que dans la nouvelle naissance, ils seraient assis sur 12 trônes, jugeant les 12 tribus d'Israël.

19:30	rna9				Qu'a dit Jésus à propos de ceux qui sont les premiers maintenant et ceux qui sont les derniers maintenant ?	Jésus a dit que ceux qui sont les premiers maintenant seront les derniers, et que ceux qui sont les derniers maintenant seront les premiers.

20:1-2	wh43				Combien le propriétaire foncier a-t-il accepté de payer les ouvriers qu'il a embauchés tôt le matin ?	Le propriétaire accepte de payer un denier par jour aux ouvriers embauchés tôt le matin.

20:4	qu3w				Combien le propriétaire a-t-il dit qu'il paierait les ouvriers qu'il a embauchés la troisième heure ?	Le propriétaire du terrain a dit qu'il leur paierait ce qui est juste.

20:9	q74p				Combien ont reçu les travailleurs qui ont été embauchés à la onzième heure ?	Les ouvriers embauchés à la onzième heure ont reçu un denier.

20:11-12	ay0a				De quoi se plaignaient les ouvriers qui étaient embauchés tôt le matin ?	Ils se sont plaints d'avoir travaillé toute la journée, mais d'avoir reçu le même salaire que ceux qui ont travaillé une heure.

20:13-14	u4vf				Comment le propriétaire a-t-il répondu à la plainte des travailleurs ?	Le propriétaire a déclaré qu'il n'avait fait aucun tort aux travailleurs et qu'il leur avait payé ce qui leur appartenait.

20:17-19	ley8				Quels sont les événements dont Jésus a parlé à l'avance à ses disciples alors qu'ils montaient à Jérusalem ?	Jésus a dit à ses disciples qu'il serait livré aux grands prêtres et aux scribes, condamné à mort, crucifié et ressuscité le troisième jour.

20:20-21	ce1w				Quelle demande la mère des fils de Zébédée avait-elle pour Jésus ?	Elle voulait que Jésus ordonne que ses deux fils soient assis à sa droite et à sa gauche dans son royaume.

20:23	xm2k				Qui, selon Jésus, a déterminé qui serait assis à sa droite et à sa gauche dans son royaume ?	Jésus a dit que le Père a préparé ces lieux pour ceux qu'il a choisis.

20:26	uvlv				Comment Jésus a-t-il dit que l'on pouvait être grand parmi ses disciples ?	Jésus a dit que celui qui veut devenir grand doit être un serviteur.

20:28	i680				Pourquoi Jésus a-t-il dit qu'il était venu ?	Jésus a dit qu'il était venu pour servir et donner sa vie en rançon pour beaucoup.

20:30	p39w				Que firent les deux aveugles qui étaient assis au bord de la route lorsque Jésus passa ?	Les deux aveugles s'écrient : "Seigneur, Fils de David, aie pitié de nous".

20:34	mxpe				Pourquoi Jésus a-t-il guéri les deux aveugles ?	Jésus a guéri les deux aveugles parce qu'il était ému de compassion.

21:2	bydy				Qu'est-ce que Jésus a dit que ses deux disciples trouveraient dans le village en face d'eux ?	Jésus dit qu'ils trouveront une ânesse attachée, et un ânon avec elle.

21:4-5	hb5j				Qu'avait prédit un prophète à propos de cet événement ?	Un prophète a prédit que le Roi viendrait sur un âne, et sur un ânon.

21:8	a9sc				Qu'est-ce que la foule a fait à la route de Jérusalem que Jésus a empruntée ?	La plupart des gens de la foule étendirent leurs vêtements de dessus sur la route, et d'autres répandirent des branches d'arbres sur la route.

21:9	jb0b				Qu'est-ce que la foule a crié lorsque Jésus est parti ?	La foule criait : "Hosanna au fils de David, béni soit celui qui vient au nom du Seigneur, hosanna au plus haut des cieux".

21:12	g1ap				Qu'a fait Jésus lorsqu'il est entré dans le temple de Dieu à Jérusalem ?	Jésus a chassé tous ceux qui achetaient et vendaient dans le temple, il a renversé les tables des changeurs et les sièges de ceux qui vendaient des pigeons.

21:13	j9me				Qu'est-ce que Jésus a dit que les marchands avaient fait du temple de Dieu ?	Jésus a dit que les marchands avaient fait du temple de Dieu une caverne de voleurs.

21:15-16	ekwk				Lorsque les chefs des prêtres et les scribes se sont opposés à ce que les enfants criaient sur Jésus, que leur a répondu Jésus ?	Jésus a cité le prophète qui a dit que c'est de la bouche des enfants et des nourrissons que Dieu a fait sortir la louange.

21:18-19	vx5n				Qu'est-ce que Jésus a fait au figuier, et pourquoi ?	Jésus a fait sécher le figuier parce qu'il n'avait pas de fruits.

21:20-22	occs				Qu'est-ce que Jésus a enseigné à ses disciples sur la prière à partir du dessèchement du figuier ?	Jésus a enseigné à ses disciples que s'ils demandaient en prière tout en croyant, ils recevraient.

21:23	a13v				Pendant que Jésus enseignait, sur quoi les chefs des prêtres et les anciens l'ont-ils interrogé ?	Les chefs des prêtres et les anciens voulaient savoir par quelle autorité Jésus faisait ces choses.

21:25	u65g				Quelle question Jésus a-t-il posée en retour aux chefs des prêtres et aux anciens ?	Jésus leur demanda s'ils pensaient que le baptême de Jean le Baptiste venait du ciel ou des hommes.

21:25	efdz				Pourquoi les chefs des prêtres et les scribes ne voulaient-ils pas répondre que le baptême de Jean venait du ciel ?	Ils savaient que Jésus leur demanderait alors pourquoi ils ne croyaient pas Jean.

